Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Fiji Sun,fijisun,7.76984E+14,MEDIA_NEWS_COMPANY,FJ,"Bringing you the best and latest in Fiji's current affairs, sports, events, analysis and business news!! 

",41897.92014,185992,189704,2019-05-07 15:45:00 EDT,43592,0.65625,Link,2136,664,120,429,37,187,4,694,1,0,,-,0,0,0,N/A,https://www.facebook.com/776984482353833/posts/2337170109668588,"The Fiji embassy in China confirmed that it was now working together with the University that she was studying at, to help bring her body home.",https://fijisun.com.fj/2019/05/05/fiji-university-student-dies-in-china/,,,Fijian University Student Dies In China,It is understood that student was studying at Anhui Agriculture University pursuing her degree in veterinary . ...,,,,2136,4.58
SIBC News,SIBCOnline,1.00064E+14,MEDIA_NEWS_COMPANY,SB,"SIBC is a public service broadcaster which facilitates educational programs, recording and promotion",41551.42222,47164,65538,2022-04-20 20:30:32 EDT,44671,0.854537037,Native Video,1802,942,369,205,222,17,24,3,9,11,owned,Yes,21956,29010,0,0.006018519,https://www.facebook.com/100063890896080/posts/369374528535574,"Former Governor General and senior statesman Sir Nathaniel Waena says if there is disagreement on the security treaty with China, there are authorities to deal with it. Sir Waena expressed disappointment on the US and Australia's continuous push into the sovereign affairs of Solomon Islands. He says he is happy that the country has diplomatic ties with China, adding, Prime Minister Manasseh Sogavare must, at all cost, protect the sovereignty of this nation. Sir Waena argued that few of the country’s traditional partners view Solomon Islands as “cowboy country” which is not right. “We are a sovereign nation, operating under an independent constitution that gave us our political independence,” he says. Listen to Sir Waena's observation here.",https://www.facebook.com/SIBCOnline/videos/952817562100700/,,,,,,,,1802,4.07
SIBC News,SIBCOnline,1.00064E+14,MEDIA_NEWS_COMPANY,SB,"SIBC is a public service broadcaster which facilitates educational programs, recording and promotion",41551.42222,N/A,N/A,2019-09-16 21:51:40 EDT,43724,0.91087963,Native Video,1773,599,173,684,16,90,4,202,2,3,owned,-,7447,24227,0,0.001655093,https://www.facebook.com/1424024597818541/posts/2357859217768403,"‘𝐇𝐎𝐖 𝐈𝐒 𝐒𝐎𝐋𝐎𝐌𝐎𝐍 𝐈𝐒𝐋𝐀𝐍𝐃𝐒 𝐆𝐎𝐈𝐍𝐆 𝐓𝐎 𝐏𝐀𝐘 𝐅𝐎𝐑 𝐓𝐇𝐀𝐓 𝐃𝐄𝐁𝐓?’ Whilst the relationship between Taiwan and Solomon Islands came to an end, a question posed by Taiwan’s Foreign Affairs deputy Minister, Dr. Szu-Chien HSU yesterday raises more questions over what might not be involved in the taskforce report. According to the Taiwan Foreign Affairs deputy minister, China is offering Solomon Islands USD 500 million for infrastructure projects. “How is Solomon Islands going to pay for that debt?” Dr. Szhu-Chien HSU asked. The Foreign Affairs deputy minister left today after only arriving on Monday afternoon.",,,,,,,,,1773,3.97
SIBC News,SIBCOnline,1.00064E+14,MEDIA_NEWS_COMPANY,SB,"SIBC is a public service broadcaster which facilitates educational programs, recording and promotion",41551.42222,46123,64270,2022-03-02 04:01:28 EST,44622,0.167685185,Photo,1726,596,408,42,9,102,16,540,1,12,,-,0,0,0,N/A,https://www.facebook.com/100063890896080/posts/337458415060519,"𝟏𝟒𝟎 𝐂𝐡𝐢𝐧𝐞𝐬𝐞 𝐫𝐞𝐭𝐮𝐫𝐧 𝐭𝐨 𝐂𝐡𝐢𝐧𝐚 𝐟𝐨𝐥𝐥𝐨𝐰𝐢𝐧𝐠 𝐍𝐨𝐯𝐞𝐦𝐛𝐞𝐫 𝟐𝟎𝟐𝟏 𝐯𝐢𝐨𝐥𝐞𝐧𝐭 𝐫𝐢𝐨𝐭𝐬 A total of 140 Solomon Islands Chinese that were affected by the November 2021 violent riots, looting and burning down of shops in Honiara have returned to settle back in China. Read More➡ https://www.sibconline.com.sb/140-chinese-return-to-china-following-november-2021-violent-riots/",https://www.facebook.com/photo.php?fbid=337456878394006&set=a.312578114215216&type=3,,,,,,,,1726,8.38
fijivillage,fijivillage,1.00068E+14,NEWS_SITE,FJ,Official Facebook Page for fijivillage.com | Linktree: https://linktr.ee/fijivillage,40575.98472,276457,308401,2021-06-24 23:37:34 EDT,44371,0.984421296,Link,1722,655,324,119,34,110,438,8,27,7,,-,0,0,0,N/A,https://www.facebook.com/147992748592074/posts/4501206359937336,"China pledges to help Fiji fight against COVID-19 pandemic, develop economy and tackle climate change #FijiNews 📰 #TeamFiji🌴",https://www.fijivillage.com/news/China-pledges-to-help-Fiji-fight-against-COVID-19-pandemic-develop-economy-and-tackle-climate-change-x4r5f8/#.YNVPZqH7dts.facebook,,,"China pledges to help Fiji fight against COVID-19 pandemic, develop economy and tackle climate change","China has pledged to continue its support in an effort to help Fiji fight against COVID-19 pandemic, develop economy, and tackle climate change. Ch",,,,1722,5.63
Fiji Sun,fijisun,7.76984E+14,MEDIA_NEWS_COMPANY,FJ,"Bringing you the best and latest in Fiji's current affairs, sports, events, analysis and business news!! 

",41897.92014,195569,201476,2020-02-02 01:20:32 EST,43863,0.055925926,Link,1722,783,143,609,144,12,28,2,1,0,,-,0,0,0,N/A,https://www.facebook.com/776984482353833/posts/2868112649907662,Fiji's borders will be closed to all foreign nationals who have been in mainland China within 14 days of their intended travel to Fiji.,https://fijisun.com.fj/?p=496955,https://fijisun.com.fj/2020/02/02/fiji-shut-borders-to-foreign-nationals-coming-from-china/,,Fiji Shut Borders To Foreign Nationals Coming From China,Government is working closely with all international carriers to ensure that any travellers who fall under these restrictions are not permitted to board flights to Fiji at their international departure location. ...,,,,1722,3.7
Post Courier,South.Pacific.Post,1.00064E+14,MEDIA_NEWS_COMPANY,PG,"Editor Matthew Vari Ph: +675 309 1054 E: mvari@spp.com.pg
Troy Taule  Digital Editor Ph: +675 3091116",41303.07083,66945,83864,2022-02-06 22:00:45 EST,44598,0.9171875,Link,1721,690,441,173,25,146,157,36,48,5,,-,0,0,0,N/A,https://www.facebook.com/195574833918434/posts/2298643460278217,Mr Marape signed the agreement while on his three-day visit to China and announced the nine other outcomes from the trip yesterday.,https://postcourier.com.pg/png-secures-loan-from-china/,,,PNG secures loan from China,PNG and China have signed a concessional loan agreement for the second phase of the PNG Power 132 KVA grid project from Yonki to Mt Hagen.,,,,1721,10.49
The Fiji Times,thefijitimes,1.00065E+14,TOPIC_NEWSPAPER,FJ,"The Fiji Times newspaper company based in Suva, Fiji.
""YOUR VOICE Since 1869""",39461.20764,180271,187614,2020-02-02 01:09:26 EST,43863,0.048217593,Link,1706,728,96,740,109,9,24,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/7130088677/posts/10158230255298678,Fiji’s borders will be closed to all foreign nationals who have been in mainland China within 14 days of their intended travel to Fiji. #FijiNews #FijiTimesNews #FijiTimesOnline #Coronavirus,https://www.fijitimes.com/coronavirus-fiji-closes-borders-to-foreign-nationals-who-had-been-in-china/,,,Coronavirus: Fiji closes borders to foreign nationals who had been in China,Security officers check bags as passengers get ready to board their flight at the Nadi International Airport. Picture: JONACANI LALAKOBAU,,,,1706,21.32
Post Courier,South.Pacific.Post,1.00064E+14,MEDIA_NEWS_COMPANY,PG,"Editor Matthew Vari Ph: +675 309 1054 E: mvari@spp.com.pg
Troy Taule  Digital Editor Ph: +675 3091116",41303.07083,89037,128443,2022-11-23 00:51:49 EST,44888,0.035983796,Link,1697,1077,86,73,428,4,2,0,0,27,,-,0,0,0,N/A,https://www.facebook.com/195574833918434/posts/2545547918921102,"“I am glad to be part of the Kumul Petroleum team, and look forward to growing professionally as the organisation grows in size and complexity, which will be happening over the next few years with Papua LNG FEED announced,” Apao said. #WorkersOfPNG",https://postcourier.com.pg/engineer-proud-to-be-part-of-kumul-petroleum/,,,Engineer proud to be part of Kumul Petroleum,"A RECENT graduate engineer, Stephanie Apao joined Kumul Petroleum Holdings upon her return from China in 2019, where she had received a bachelor’s degree in petroleum engineering from the East China University of Petroleum in Quingdao",,,,1697,8.79
The Fiji Times,thefijitimes,1.00065E+14,TOPIC_NEWSPAPER,FJ,"The Fiji Times newspaper company based in Suva, Fiji.
""YOUR VOICE Since 1869""",39461.20764,263579,353035,2023-04-06 21:31:20 EDT,45022,0.896759259,Link,1694,1501,42,11,125,1,11,0,0,3,,-,0,0,0,N/A,https://www.facebook.com/100064794548009/posts/600826255420521,#TimesSport - The return of Sevuloni Mocenacagi brought a sigh of relieve to the Fiji Airways Fiji 7s men’s team as they turn up the tempo in their campaign for its first title win in the 2022-23 HSBC World Rugby Sevens Series. #HSBCWorldRugbySevensSeries #FijiRugby7s #Singapore7s #Fiji7sRugby,https://www.fijitimes.com/mocenacagi-fit-to-join-side/,,,Mocenacagi fit to join side,"Sevuloni Mocenacagi, centre, runs away from Vuiviwa Naduvalo as Waisea Nacuqu, right, looks for support during the Fiji men’s 7s team training session before the Cathay Pacific/ HSBC World Rugby Sevens Series Hong Kong 7s tournament at Kings Park Rugby Fields in Hong Kong, China. Picture: Mike Lee...",,,,1694,25.67
SIBC News,SIBCOnline,1.00064E+14,MEDIA_NEWS_COMPANY,SB,"SIBC is a public service broadcaster which facilitates educational programs, recording and promotion",41551.42222,48672,67168,2022-06-27 02:48:29 EDT,44739,0.117002315,Photo,1677,998,256,84,296,32,3,1,0,7,,-,0,0,0,N/A,https://www.facebook.com/100063890896080/posts/414934337312926,"𝐌𝐚𝐫𝐨𝐯𝐨 𝐂𝐨𝐧𝐬𝐭𝐢𝐭𝐮𝐞𝐧𝐜𝐲 𝐡𝐚𝐧𝐝𝐬 𝐨𝐯𝐞𝐫 𝟏𝟔𝟎 𝐟𝐢𝐬𝐡𝐢𝐧𝐠 𝐛𝐨𝐚𝐭𝐬, 𝐞𝐧𝐠𝐢𝐧𝐞𝐬 𝐚𝐧𝐝 𝐞𝐬𝐤𝐢𝐞𝐬 Marovo Constituency in Western province today handed over 160 fishing boats, engines and eskies to 160 recipients within the four wards in the constituency. This is part of the Marovo Constituency Fishing Project. Recipients received and installed their engines in preparation for a signing of the Terms of Agreement between the recipients and the constituency office later tonight. The handing over ceremony took place at Doku Dola Boat Building site. The official launch of the Marovo Fisheries Project will launch together with the Handing over of the Gasini Market House tomorrow at Gasini Village. The project is funded by the National Government and Peoples Republic of China (PRC) through the Ministry of Rural Development. Supervising Minister for Rural Development Hon Rollen Seleso, Member of Parliament for Marovo Constituency Hon. Chachabule Amoi, Minister of Commerce, Immigration, Labour and Industry, Frederick Kologeto, Minister of National Planning and Aid Coordination, Rex Ramofafia, PRC Ambassador to Solomon Islands His Excellency Li Ming and other government dignitaries attended the event. 𝘉𝘺 𝘚𝘪𝘮𝘰𝘯 𝘛𝘢𝘷𝘢𝘬𝘦 𝘐𝘯 𝘔𝘢𝘳𝘰𝘷𝘰, 𝘞𝘦𝘴𝘵𝘦𝘳𝘯 𝘗𝘳𝘰𝘷𝘪𝘯𝘤𝘦",https://www.facebook.com/photo.php?fbid=414926327313727&set=a.312578114215216&type=3,,,Photos from SIBC News's post,,,,,1677,7.05
fijivillage,fijivillage,1.00068E+14,NEWS_SITE,FJ,Official Facebook Page for fijivillage.com | Linktree: https://linktr.ee/fijivillage,40575.98472,270110,300684,2021-05-18 15:20:47 EDT,44334,0.63943287,Link,1617,927,274,50,75,39,240,1,3,8,,-,0,0,0,N/A,https://www.facebook.com/147992748592074/posts/4394331490624824,China donates 17 hospital beds to assist with Fiji’s COVID-19 response #FijiNews📰 #TeamFiji🌴 #HealthCare🏥#TogetherWeCan🤝,https://www.fijivillage.com/news/China-donates-17-hospital-beds-to-assist-with-Fijis-COVID-19-response-xf845r/#.YKQTYxnZkxU.facebook,,,China donates 17 hospital beds to assist with Fiji’s COVID-19 response,"China has donated 17 hospital beds worth $25,500 to aid Fiji with its current response to COVID-19. The Fijian government in a statement says this",,,,1617,5.28
Fiji Sun,fijisun,7.76984E+14,MEDIA_NEWS_COMPANY,FJ,"Bringing you the best and latest in Fiji's current affairs, sports, events, analysis and business news!! 

",41897.92014,183938,189241,2019-04-01 20:25:16 EDT,43556,0.85087963,Link,1594,1439,22,49,48,35,0,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/776984482353833/posts/2281798981872368,Olympian and former World Rugby Sevens Player of the Year Samisoni Viriviri has signed-up with the South China Tigers to compete in Andrew For­rest’s Global Rapid Rugby. Viriviri is rooming with former English Rugby Premiership all-time leading try scorer Tom Varn­dell.,https://fijisun.com.fj/2019/04/02/samisoni-viriviri-joins-south-china-tigers/,,,Samisoni Viriviri Joins South China Tigers,Viriviri is rooming with former English Rugby Premiership all-time leading try scorer Tom Varn­dell....,,,,1594,3.42
FBC News,fijibroadcastingcorporation.news,1.0007E+14,BROADCASTING_MEDIA_PRODUCTION,FJ,Official FB page for Fiji's leading news broadcaster under the Fiji Broadcasting Corporation.'LIVE' ,41801.11042,251329,292640,2022-01-04 17:06:22 EST,44565,0.71275463,Link,1588,1096,0,152,19,261,24,29,3,4,,-,0,0,0,N/A,https://www.facebook.com/527987560656455/posts/4485646688223836,#China has put a second city into total lockdown after just three asymptomatic #COVID cases were discovered. #WorldNews,https://www.fbcnews.com.fj/world/second-chinese-city-forced-into-covid-lockdown/,,,Second Chinese city forced into COVID lockdown,"World Second Chinese city forced into COVID lockdown | @BBCWorld January 5, 2022 7:28 am [Source: BBC] China has put a second city into total lockdown after just three asymptomatic COVID cases were discovered. Yuzhou – which has a population of 1.1 million – saw its transport system shut down an...",,,,1588,9.18
Fiji Sun,fijisun,7.76984E+14,MEDIA_NEWS_COMPANY,FJ,"Bringing you the best and latest in Fiji's current affairs, sports, events, analysis and business news!! 

",41897.92014,200469,208914,2020-04-18 21:00:42 EDT,43939,0.875486111,Link,1567,616,398,187,13,127,47,17,162,0,,-,0,0,0,N/A,https://www.facebook.com/776984482353833/posts/3037741412944784,"Fijian resident Joseph Li booked the first available flight back home for his family when the outbound traffic ban was lifted in Wuhan on April 8. They had had gone back to their hometown for the Chinese New Year, but he had no idea they would be stuck there for three months. “The children really want to get back home. We were stuck in Wuhan for such a long time,” he said.",https://fijisun.com.fj/?p=504368,https://fijisun.com.fj/2020/04/19/fijians-in-wuhan-china-ready-to-come-home/,,"Fijians In Wuhan, China Ready To Come Home","Some Fijians stuck there have booked the first available flight back home, while others are still waiting to see how the outbreak continues to unfold both in China, and here in Fiji. ...",,,,1567,3.36
Fiji Sun,fijisun,7.76984E+14,MEDIA_NEWS_COMPANY,FJ,"Bringing you the best and latest in Fiji's current affairs, sports, events, analysis and business news!! 

",41897.92014,248914,295762,2022-09-26 07:07:58 EDT,44830,0.297199074,Link,1455,1111,151,21,151,10,4,0,0,7,,-,0,0,0,N/A,https://www.facebook.com/776984482353833/posts/5656190614433171,"Krishneel Kumar established his freight company with only $200 in 2017 at 24 years old. Today, the 31-year-old has branches, not only in Fiji, but in Australia, New Zealand, China, Japan, Singapore, India and he will be opening an office in Hong Kong next year. #FijiSun #Fiji #TeamFiji #FJunited #SUNBIZ",https://fijisun.com.fj/?p=569854,https://fijisun.com.fj/2022/09/26/entrepreneur-opens-250k-container-freight-station/,,Entrepreneur Opens $250K Container Freight Station,"“Because a lot of young people can only be job seekers not job creators, and he has obviously proven that you can do it, at an early age if you have the drive, the fortitude, the vision, you will get to your destination,” the A-G highlighted....",,,,1455,3.72
Fiji Sun,fijisun,7.76984E+14,MEDIA_NEWS_COMPANY,FJ,"Bringing you the best and latest in Fiji's current affairs, sports, events, analysis and business news!! 

",41897.92014,225623,246393,2021-06-29 22:00:43 EDT,44376,0.917164352,Link,1405,1207,50,68,32,35,7,2,0,4,,-,0,0,0,N/A,https://www.facebook.com/776984482353833/posts/4277881062264140,"Approximately 55,000 tonnes of woodchips valued at $6.4 million are being exported to China, Fiji Pine Group has confirmed. The wood chip shipment was out of our factory in Wairiki, Bua, Vanua Levu, said Fiji Pine Group chief executive officer Vimlesh Kumar. #FijiSun #FijiNews #FijiPine",https://fijisun.com.fj/2021/06/30/wood-chips-sold-for-6-4m-fiji-pine/,,,Wood Chips Sold For $6.4M: Fiji Pine,"Approximately 55,000 tonnes of woodchips valued at $6.4 million are being exported to China, Fiji Pine Group has confirmed. The wood chip shipment was out of our factory in Wairiki,...",,,,1405,3.02
FBC News,fijibroadcastingcorporation.news,1.0007E+14,BROADCASTING_MEDIA_PRODUCTION,FJ,Official FB page for Fiji's leading news broadcaster under the Fiji Broadcasting Corporation.'LIVE' ,41801.11042,226737,261472,2021-05-18 05:44:24 EDT,44334,0.239166667,Link,1338,669,243,82,62,47,211,5,12,7,,-,0,0,0,N/A,https://www.facebook.com/527987560656455/posts/3773706856084493,The People’s Republic of China is willing to share the best anti-pandemic practices and send a special medical team to combat the virus with the Fijian side if necessary #FBCNews #FijiNews #Fiji #COVID19 #FJunited,https://www.fbcnews.com.fj/news/china-renders-support-to-fiji/,,,China renders support to Fiji,"COVID-19 China renders support to Fiji Kreetika Kumar Multimedia Journalist [email protected] | @KreetikaFBCNews May 18, 2021 5:20 pm The People’s Republic of China is willing to share the best anti-pandemic practices and send a special medical team to combat the virus with the Fijian side if nec...",,,,1338,7.73
Fiji Sun,fijisun,7.76984E+14,MEDIA_NEWS_COMPANY,FJ,"Bringing you the best and latest in Fiji's current affairs, sports, events, analysis and business news!! 

",41897.92014,189589,193467,2019-07-16 22:57:53 EDT,43662,0.956863426,Link,1338,342,113,189,34,74,1,583,2,0,,-,0,0,0,N/A,https://www.facebook.com/776984482353833/posts/2461426393909625,"She was uneasy at first, but a smile slowly appeared when she was asked to describe her husband, Varasiko Suku. The 37-year-old died on Monday afternoon in an accident along Ratu Kadavulevu Road in Wainibokasi. According to Police, the China Railway Company worker was crushed by a digger.",https://fijisun.com.fj/2019/07/17/widow-ponders-future-without-husband/,,,Widow Ponders Future Without Husband,"She was uneasy at first, but a smile slowly appeared when she was asked to describe her husband, Varasiko Suku. ...",,,,1338,2.87
